  0.  0.160065928
  0.1  0.159941373
  0.2  0.159568265
  0.3  0.158948271
  0.4  0.158084154
  0.5  0.156979758
  0.6  0.155639974
  0.7  0.154070711
  0.8  0.152278854
  0.9  0.15027221
  1.  0.148059461
  1.1  0.145650099
  1.2  0.143054361
  1.3  0.140283163
  1.4  0.13734802
  1.5  0.134260976
  1.6  0.131034521
  1.7  0.12768151
  1.8  0.124215081
  1.9  0.120648573
  2.  0.116995446
  2.1  0.113269195
  2.2  0.109483274
  2.3  0.105651018
  2.4  0.101785569
  2.5  0.0978998026
  2.6  0.0940062659
  2.7  0.0901171108
  2.8  0.0862440376
  2.9  0.0823982426
  3.  0.0785903705
  3.1  0.0748304727
  3.2  0.0711279716
  3.3  0.0674916306
  3.4  0.0639295299
  3.5  0.0604490482
  3.6  0.0570568506
  3.7  0.0537588814
  3.8  0.0505603633
  3.9  0.047465801
  4.  0.0444789906
  4.1  0.041603033
  4.2  0.0388403522
  4.3  0.0361927172
  4.4  0.0336612676
  4.5  0.0312465428
  4.6  0.0289485132
  4.7  0.0267666145
  4.8  0.0246997838
  4.9  0.0227464968
  5.  0.0209048065
  5.1  0.0191723828
  5.2  0.017546552
  5.3  0.0160243364
  5.4  0.0146024936
  5.5  0.0132775554
  5.6  0.012045865
  5.7  0.0109036138
  5.8  0.00984687609
  5.9  0.0088716422
  6.  0.00797385017
  6.1  0.00714941492
  6.2  0.00639425563
  6.3  0.00570432077
  6.4  0.00507561101
  6.5  0.00450419972
  6.6  0.00398625132
  6.7  0.00351803725
  6.8  0.00309594982
  6.9  0.00271651384
  7.  0.00237639619
  7.1  0.00207241345
  7.2  0.00180153754
  7.3  0.00156089973
  7.4  0.00134779288
  7.5  0.00115967233
  7.6  0.000994155231
  7.7  0.000849018802
  7.8  0.000722197396
  7.9  0.000611778643
  8.  0.000515998753
  8.1  0.000433237119
  8.2  0.000362010357
  8.3  0.000300965874
  8.4  0.000248875106
  8.5  0.0002046265
  8.6  0.000167218359
  8.7  0.000135751615
  8.8  0.000109422632
  8.9  8.7516075E-05
  9.  6.93979419E-05
  9.1  5.45087734E-05
  9.2  4.23571056E-05
  9.3  3.25131829E-05
  9.4  2.46029498E-05
  9.5  1.83023131E-05
  9.6  1.33316166E-05
  9.7  9.45012632E-06
  9.8  6.44977093E-06
  9.9  4.14414664E-06
  10.  2.26999654E-06
  10.1  0.
